S -> 16
{15 } -> 16
{17 } -> 16
{18 } -> 16
{0 9 } -> 16
{0 10 } -> 16
{0 11 } -> 16
{0 12 } -> 16
{0 13 } -> 16
{0 14 } -> 16
{1 12 } -> 16
{1 13 } -> 16
{1 14 } -> 16
{2 12 } -> 16
{2 13 } -> 16
{2 14 } -> 16
{3 12 } -> 16
{3 13 } -> 16
{3 14 } -> 16
{9 19 } -> 16
{9 20 } -> 16
{10 19 } -> 16
{10 20 } -> 16
{11 19 } -> 16
{11 20 } -> 16
{12 19 } -> 16
{12 20 } -> 16
{13 19 } -> 16
{13 20 } -> 16
{14 19 } -> 16
{14 20 } -> 16
