S -> 1
{0 } -> 1
{2 } -> 1
{3 } -> 1
{4 15 } -> 1
{4 16 } -> 1
{4 17 } -> 1
{4 18 } -> 1
{4 19 } -> 1
{4 20 } -> 1
{5 15 } -> 1
{5 16 } -> 1
{5 17 } -> 1
{5 18 } -> 1
{5 19 } -> 1
{5 20 } -> 1
{6 15 } -> 1
{6 16 } -> 1
{6 17 } -> 1
{6 18 } -> 1
{6 19 } -> 1
{6 20 } -> 1
{7 18 } -> 1
{7 19 } -> 1
{7 20 } -> 1
{8 18 } -> 1
{8 19 } -> 1
{8 20 } -> 1
{9 18 } -> 1
{9 19 } -> 1
{9 20 } -> 1
